Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
370. No One Will Save You,2023,93,PG-13,6.3,60,"54,808"
371. The Noel Diary,2022,99,TV-14,6.1,63,"17,991"
372. Renfield,2023,93,R,6.4,53,"83,200"
373. Her,2013,126,R,8.0,91,"654,522"
374. Taken,2008,90,PG-13,7.8,51,"625,051"
375. The Secret: Dare to Dream,2020,107,PG,6.5,32,"16,689"
376. Call Me by Your Name,2017,132,R,7.8,94,"302,065"
377. Harry Potter and the Deathly Hallows: Part 1,2010,146,PG-13,7.7,65,"584,965"
378. Catch Me If You Can,2002,141,PG-13,8.1,75,"1,063,965"
379. Nobody,2021,92,R,7.4,64,"311,423"
380. The Family Man,2000,125,PG-13,6.8,42,"116,489"
381. The Last Duel,2021,152,R,7.4,67,"175,520"
382. The Last Voyage of the Demeter,2023,118,R,6.1,52,"37,746"
383. Girl in the Basement,2021,88,TV-14,6.3,,"12,399"
"384. Planes, Trains & Automobiles",1987,93,R,7.6,72,"156,661"
385. Indiana Jones and the Kingdom of the Crystal Skull,2008,122,PG-13,6.2,65,"484,403"
386. Indiana Jones and the Last Crusade,1989,127,PG-13,8.2,65,"798,066"
387. Beetlejuice,1988,92,PG,7.5,70,"331,019"
388. Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,63,"1,185,964"
389. 65,2023,93,PG-13,5.4,40,"80,651"
390. The Lobster,2015,119,R,7.1,82,"280,153"
391. Femme,2023,99,,7.7,67,494
392. Dazed and Confused,1993,103,R,7.6,82,"195,899"
393. Barbarian,2022,102,R,7.0,78,"168,382"
394. The Sound of Music,1965,172,G,8.1,63,"252,617"
395. 2001: A Space Odyssey,1968,149,G,8.3,84,"705,539"
396. Silent Night,2021,92,,5.7,52,"17,288"
397. The Truman Show,1998,103,PG,8.2,90,"1,162,332"
398. Don't Look Up,2021,138,R,7.2,49,"579,292"
399. Inside Out 2,2024,N/A,,,,N/A
400. Drive,2011,100,R,7.8,79,"689,945"
401. The Outsiders,1983,91,PG,7.0,45,"94,998"
402. Thor: Love and Thunder,2022,118,PG-13,6.2,57,"385,984"
403. Sicario,2015,121,R,7.7,82,"461,486"
404. Love & Other Drugs,2010,112,R,6.7,55,"218,838"
405. Taxi Driver,1976,114,R,8.2,94,"897,793"
406. Pig,2021,92,R,6.9,82,"86,039"
407. Top Gun,1986,109,PG,6.9,50,"489,552"
408. Memento,2000,113,R,8.4,83,"1,299,135"
409. Happiest Season,2020,102,PG-13,6.6,69,"45,549"
410. Lolita,1997,137,R,6.8,46,"64,939"
411. Trading Places,1983,116,R,7.5,69,"161,603"
412. Scream VI,2023,122,R,6.5,61,"111,941"
413. The Shining,1980,146,R,8.4,66,"1,084,624"
414. 300,2006,117,R,7.6,52,"851,908"
415. The Usual Suspects,1995,106,R,8.5,76,"1,128,026"
416. RoboCop,1987,102,R,7.6,70,"276,370"
417. The Devil Wears Prada,2006,109,PG-13,6.9,62,"450,291"
418. Malena,2000,108,R,7.4,54,"109,900"
419. Quiz Lady,2023,99,R,6.7,59,"13,664"
420. Knives Out,2019,130,PG-13,7.9,82,"749,738"
421. The Bishop's Wife,1947,109,G,7.6,73,"19,905"
422. Dune,1984,137,PG-13,6.3,41,"169,214"
423. Boogie Nights,1997,155,R,7.9,86,"278,138"
424. It Ends with Us,2024,N/A,,,,N/A
425. Doctor Strange in the Multiverse of Madness,2022,126,PG-13,6.9,60,"462,079"
426. The Irishman,2019,209,R,7.8,94,"420,299"
427. Avatar,2009,162,PG-13,7.9,83,"1,367,436"
428. Prey,2022,100,R,7.1,71,"218,952"
429. Dogtooth,2009,97,Not Rated,7.2,73,"104,936"
430. 12 Angry Men,1957,96,Approved,9.0,97,"843,746"
431. Hell or High Water,2016,102,R,7.6,88,"246,628"
432. Madame Web,2024,N/A,,,,N/A
433. Ford v Ferrari,2019,152,PG-13,8.1,81,"446,794"
434. Tropic Thunder,2008,107,R,7.1,71,"440,091"
435. Divergent,2014,139,PG-13,6.6,48,"481,307"
436. Bone Tomahawk,2015,132,Not Rated,7.1,72,"114,157"
437. Sense and Sensibility,1995,136,PG,7.7,84,"123,098"
438. Black Adam,2022,125,PG-13,6.2,41,"264,268"
439. The Dreamers,2003,115,NC-17,7.1,63,"128,935"
440. Cars,2006,117,G,7.2,73,"455,877"
441. Fast Times at Ridgemont High,1982,90,R,7.1,61,"113,506"
442. La La Land,2016,128,PG-13,8.0,94,"644,068"
443. The Mummy,2017,110,PG-13,5.4,34,"202,551"
444. 1917,2019,119,R,8.2,78,"653,099"
445. Cobweb,2023,88,R,6.0,50,"24,403"
446. American Hustle,2013,138,R,7.2,90,"495,778"
447. Black Hawk Down,2001,144,R,7.7,74,"417,094"
448. Glass Onion,2022,139,PG-13,7.1,81,"419,395"
